LATITUDE,LONGITUDE,AGE,CU
32.3757,140.749,28.63,62.0
31.1059,140.888,29.34,129.0
31.1059,140.888,30.54,28.0
32.3994,140.418,29.05,77.0
32.3994,140.418,29.7,37.0
32.3994,140.418,30.1,57.0
32.3994,140.418,10.1,126.0
32.3994,140.418,28.15,116.0
31.1059,140.888,16.2,66.0
31.1059,140.888,30.35,47.0
32.3994,140.418,28.4,96.0
32.3994,140.418,28.45,119.0
32.3994,140.418,28.69,67.0
31.1059,140.888,25.25,98.0
31.1059,140.888,25.3,51.0
30.921999999999997,140.004,0.2,7.0
30.921999999999997,140.004,2.64,22.0
30.9154,139.844,0.03,17.0
30.9165,139.87,0.02,26.0
30.9165,139.87,0.02,11.0
30.9165,139.87,0.22,30.0
30.9165,139.87,0.29,11.0
32.3757,140.749,0.06,48.0
32.3998,140.381,0.14,51.0
32.3757,140.749,28.12,128.0
